FEATTYPE,SCALE,FACAFF,elevation,aspect,slope,landuse,Period,Years_befo,Main_Rock_,NDVI,distance,total_curv,plan_curv,prof_curv,Label
Natural Hillside,30,Road,153,158.908,11.4627,72,Cretaceous,65-145,Tuff and Lava,0.337599,18.01084828,-0.159719,-0.0881906,0.0715282,1
Retaining Wall (Masonry),2,Roadside lay by,47,224.538,19.5853,41,Cretaceous,65-145,Tuff and Lava,0.208251,11.75936298,-0.675733,-0.356296,0.319438,1
Soil Cut,0.5,Village access,9,168.111,3.00395,3,Cretaceous,65-145,Tuff and Lava,0.178629,9.492524114,-0.896882,-0.220067,0.676815,1
Soil Cut,16,Nil,31,323.13,2.32153,71,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.247584,506.3030864,-0.0368582,0.0245721,0.0614303,1
Soil Cut,0.1,Registered squatter dwelling,15,80.8377,2.42979,61,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.271611,56.2369786,0.700305,0.454051,-0.246255,1
Soil Cut,3,Minor footpath,2,277.431,1.79531,72,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.193574,615.9750869,-0.122861,0.0151769,0.138037,1
Soil Cut,0.5,Minor footpath,14,191.976,2.61013,1,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.203652,70.56346573,0.0982885,0.0787898,-0.0194987,1
Soil Cut,6.3,Open area,18,335.854,2.45915,72,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.276913,24.37807951,-0.0122861,-0.0383325,-0.0260464,1
Natural Hillside,13,Construction site,44,296.003,7.02863,72,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.255756,21.03343907,-0.0245721,0.0390601,0.0636323,1
Soil Cut,0.005,Other (open carpark),19,203.962,4.5657,71,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.279631,260.2351798,0.0368582,0.26502,0.228161,1
Soil Cut,0.04,Access road,39,2.8624,6.17782,71,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.251722,85.58549232,0.565159,0.134843,-0.430316,1
Retaining Wall (Masonry),3,Open area,10,234.462,2.66228,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.339308,762.8678936,-0.307151,-0.0716063,0.235545,1
Soil Cut,0.8,Registered squatter dwelling,26,315,11.557,51,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.260347,413.0877898,0.46687,0.252023,-0.214847,1
Soil Cut,0.2,Road,45,153.435,0.346259,73,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.328237,40.71992735,-0.196577,0.0741697,0.270747,1
Soil Cut,0.4,Minor footpath,22,321.34,8.85279,71,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.178519,583.9214266,-0.196577,0.00284071,0.199418,1
Fill Slope,2,Open space,6,211.504,2.81292,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.244711,51.69662021,-0.417726,-0.084143,0.333583,1
Soil Cut,1.5,Open area,45,7.65065,5.2197,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.231113,115.4668829,0.184291,0.107098,-0.0771932,1
Soil Cut,0.5,Nil,15,80.8377,2.42979,61,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.271611,531.1388005,0.0491442,0.168461,0.119317,1
Others,0.2,Open area,8,227.437,5.13725,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.184928,76.78750924,-0.270293,-0.208321,0.0619723,1
Retaining Wall (Masonry),9.7,Village house; Minor footpath,28,316.332,4.69912,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.228355,551.4901399,-0.208863,-0.0454728,0.16339,1
Soil Cut,9.5,Access road,20,7.12502,2.49536,73,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.246246,62.7738343,-0.638875,-0.381813,0.257062,1
Rock Cut,0.07,Minor footpath,19,297.553,11.8786,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.216817,482.7128223,0.208863,0.121852,-0.0870109,1
Soil Cut,0.2,Other (asbestos canopy),15,80.8377,2.42979,61,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.271611,415.0991985,0.319438,0.102639,-0.216799,1
Fill Slope,3.5,Access road,37,62.2415,3.32112,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.246246,71.19511601,0.0245721,-0.0905729,-0.115145,1
Soil Cut,6,Squatter structure,8,227.437,5.13725,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.266981,382.3149975,0.823166,0.23356,-0.589606,1
Soil Cut,4,Access road,28,176.987,11.623,73,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.39319,1269.098414,-0.503728,-0.0971572,0.406571,1
Soil Cut,20,"Other
(Cemetery)",32,141.054,14.2345,51,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.225327,203.2069578,0.122861,0.0693247,-0.0535359,1
Natural Hillside,7.5,"Other
(Streamcourse)",39,2.8624,6.17782,71,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.270109,49.06058234,-0.46687,-0.382395,0.084475,1
Retaining Wall (Masonry),8,Village house on licensed land,3,232.595,6.59869,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.260536,269.6195533,0.577445,0.278642,-0.298803,1
Natural Hillside,4,Squatter structure,10,288.435,3.17971,71,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.278568,104.5675392,-0.282579,0.0683002,0.35088,1
Natural Hillside,0,Building (Village house),7,257.471,1.42738,71,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.254851,153.4028748,0.442298,0.16775,-0.274548,1
Natural Hillside,2.5,Open area,18,335.323,9.37358,72,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.327401,995.2563955,-0.516015,-0.390996,0.125019,1
Soil Cut,0.5,Village house,3,232.595,6.59869,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.191885,594.3054889,0.0122861,0.174123,0.161837,1
Soil/Rock Cut,5,Village house,37,305.538,2.66228,72,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.249609,387.1258202,0.184291,0.218353,0.0340622,1
Soil Cut,1,Squatter dwelling,3,232.595,6.59869,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.166107,29.73466559,0.196577,0.117066,-0.0795111,1
Soil Cut,0.5,Open area,7,257.735,3.63991,73,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.24412,3.669529499,0.0860024,0.103203,0.0172005,1
Soil Cut,1,Open area,18,316.061,11.664,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.191131,189.0459341,0.172005,-0.118412,-0.290417,1
Soil Cut,6,Squatter dwelling,42,45,0.985384,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.246566,917.819165,0.40544,0.46071,0.0552704,1
Natural Hillside,550,Footpath,13,97.6605,13.1247,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.30233,47.46135599,-0.0245721,0.0786308,0.103203,1
Disturbed terrain,2,Open area,22,23.9625,10.5549,51,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.222874,51.59857856,-0.147433,0.0208445,0.168277,1
Soil Cut,2,Backlane,26,10.3048,3.45842,71,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.272125,64.21299469,0.196577,0.173911,-0.0226657,1
Soil Cut,15,Footpath,40,131.927,15.9162,51,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.272619,167.7870655,-0.122861,-0.114153,0.00870786,1
Soil Cut,10,Access,25,39.1737,10.6617,51,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.262664,131.58208,0.430012,0.295672,-0.13434,1
Soil Cut,18,Check point area,23,34.3151,5.885,71,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.200269,24.60656502,-0.0491442,-0.0165862,0.0325581,1
Soil/Rock Cut,2,Access road,45,153.435,0.346259,73,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.328237,505.2937753,0.122861,0.172005,0.0491442,1
Soil Cut,0,"Squatters, backyard",19,290.772,2.40007,71,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.239804,185.1715571,0.0860024,0.049466,-0.0365364,1
Soil Cut,0.5,Car park,5,258.024,2.61013,61,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.145521,126.0370426,-0.270293,-0.144511,0.125783,1
Soil Cut,2,Open area,12,324.782,3.2189,71,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.332246,925.2512126,-0.0860024,0.110259,0.196262,1
Soil Cut,10,Backyard,12,324.782,3.2189,23,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.332246,90.72709997,0.0122861,-0.0471785,-0.0594645,1
Soil Cut,0,Village house,11,200.556,1.32283,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.200553,73.09961493,-0.159719,0.013185,0.172904,1
Retaining Wall,50,"Garden of school, open area of factory",18,319.236,2.9619,31,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.0833447,106.6106699,0.0122861,0.0282858,0.0159997,1
Fill Slope,1,Village building,16,312.29,6.15154,3,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.105991,29.00458288,0,0.0586105,0.0586105,1
Soil Cut,10,Road,54,65.7461,7.68159,73,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.294295,9.254080939,-0.0614303,-0.000692651,0.0607376,1
,,,204,88.394,23.4586,71,Jurassic,145-199,Granitic Rocks,0.446353,12.76426158,1.35147,0.666429,-0.685038,0
,,,93,102.061,9.18395,72,Jurassic,145-199,Tuff and Lava,0.342406,194.4268441,0.0982885,0.0610105,-0.0372779,0
,,,96,345.828,22.4871,72,Jurassic,145-199,Tuff and Lava,0.265323,216.0065248,-0.356296,-0.215479,0.140817,0
,,,58,29.0546,7.92072,72,Jurassic,145-199,Tuff and Lava,0.334093,321.4733121,-0.233435,-0.0653756,0.16806,0
,,,266,334.612,19.4436,72,Jurassic,145-199,Tuff and Lava,0.252285,489.6020478,0.122861,-0.0353187,-0.158179,0
,,,400,157.82,20.7782,73,Jurassic,145-199,Tuff and Lava,0.361504,517.7971809,0.172005,0.121475,-0.0505299,0
,,,162,31.0831,12.5432,72,Cretaceous,65-145,Granitic Rocks,0.352423,574.7450185,-0.221149,-0.0447347,0.176414,0
,,,266,234.462,5.31312,73,Jurassic,145-199,Granitic Rocks,0.328694,601.5752089,-0.282579,-0.127042,0.155537,0
,,,4,0,0,72,Jurassic,145-199,Granitic Rocks,0.296221,784.3881264,-0.172005,0.0149272,0.186932,0
,,,193,206.487,24.0082,72,Jurassic,145-199,Tuff and Lava,0.365772,874.7693073,0.528301,0.40167,-0.126631,0
,,,-1,326.31,0.558314,43,Jurassic,145-199,Granitic Rocks,0.0403346,968.772859,-0.258007,-0.130602,0.127405,0
,,,124,164.335,14.856,72,Jurassic,145-199,Granitic Rocks,0.374628,1081.948339,0.442298,0.194702,-0.247596,0
,,,311,355.068,14.9602,71,Jurassic,145-199,Tuff and Lava,0.295755,1114.721779,-0.172005,-0.210801,-0.0387959,0
,,,256,74.8989,19.4288,71,Jurassic,145-199,Granitic Rocks,0.384869,1116.592297,-0.40544,-0.388802,0.0166379,0
,,,361,215.181,21.9701,73,Jurassic,145-199,Tuff and Lava,0.349043,1287.720356,-0.159719,-0.0824324,0.0772864,0
,,,284,322.507,13.9641,72,Jurassic,145-199,Granitic Rocks,0.277626,1314.095221,-0.159719,-0.13944,0.020279,0
,,,17,134.471,5.91034,71,Jurassic,145-199,Tuff and Lava,0.369911,1358.237583,-0.319438,-0.130521,0.188916,0
,,,326,219.883,21.09,73,Jurassic,145-199,Tuff and Lava,0.292327,1403.93727,0.46687,0.0476701,-0.4192,0
,,,471,189.485,28.7846,72,Jurassic,145-199,Tuff and Lava,0.40715,1432.728593,0,0.0135776,0.0135776,0
,,,173,9.40922,25.6141,72,Jurassic,145-199,Granitic Rocks,0.297478,1650.627848,-0.0982885,0.0514334,0.149722,0
,,,0,0,0,72,Jurassic,145-199,Granitic Rocks,0.0945731,1681.647736,0,0,0,0
,,,346,311.929,21.422,71,Jurassic,145-199,Tuff and Lava,0.24705,1791.775549,-0.135147,-0.0882581,0.0468886,0
,,,25,313.502,16.3041,71,Jurassic,145-199,Granitic Rocks,0.237011,1897.591431,-0.0737164,0.049112,0.122828,0
,,,45,21.2505,8.89987,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.406229,1912.155176,-0.503728,-0.343027,0.160702,0
,,,242,183.576,19.1174,72,Jurassic,145-199,Tuff and Lava,0.385034,2030.320479,0.614303,0.293295,-0.321008,0
,,,164,287.398,23.0177,72,Cretaceous,65-145,Granitic Rocks,0.296441,2034.687789,0.221149,0.162653,-0.0584959,0
,,,175,171.573,27.3112,73,Jurassic,145-199,Tuff and Lava,0.360649,2042.23653,0.368582,0.328138,-0.0404434,0
,,,225,70.8489,18.8753,72,Jurassic,145-199,Tuff and Lava,0.338401,2097.473448,-0.577445,-0.441278,0.136167,0
,,,37,35.8698,12.2319,92,Jurassic,145-199,Tuff and Lava,0.347432,2144.359643,-0.319438,-0.0800463,0.239391,0
,,,371,106.809,15.1651,73,Jurassic,145-199,Tuff and Lava,0.388684,2155.253526,-0.712591,-0.372268,0.340324,0
,,,214,301.269,23.4984,72,Jurassic,145-199,Tuff and Lava,0.269056,2165.558679,-0.221149,-0.198196,0.0229535,0
,,,179,240.106,17.8828,71,Jurassic,145-199,Tuff and Lava,0.321911,2192.543841,0.135147,-0.190469,-0.325616,0
,,,32,121.929,12.1605,61,Cretaceous,65-145,Granitic Rocks,0.335918,2250.859008,0.184291,0.276046,0.0917547,0
,,,265,350.838,18.7506,72,Jurassic,145-199,Granitic Rocks,0.276131,2267.414318,0.0491442,0.0552554,0.0061112,0
,,,61,120.379,19.9717,73,Jurassic,145-199,Tuff and Lava,0.297797,2290.900139,-0.0368582,-0.0941268,-0.0572686,0
,,,525,353.449,25.9014,71,Jurassic,145-199,Tuff and Lava,0.246271,2407.160103,0.356296,0.245721,-0.110575,0
,,,152,102.804,16.9554,72,Jurassic,145-199,Granitic Rocks,0.461161,2425.326806,-0.675733,-0.313094,0.362639,0
,,,-11,341.565,0.489678,43,Jurassic,145-199,Granitic Rocks,0.10687,2436.637184,-0.430012,-0.19189,0.238122,0
,,,167,71.565,3.91143,73,Jurassic,145-199,Granitic Rocks,0.308646,2639.099784,0.0737164,0.0307151,-0.0430012,0
,,,337,242.583,15.8904,73,Jurassic,145-199,Granitic Rocks,0.346854,2691.744203,-0.221149,-0.128541,0.0926079,0
,,,3,328.517,3.89804,43,Jurassic,145-199,Granitic Rocks,0.140379,2741.977994,-0.135147,-0.0296648,0.105482,0
,,,585,11.7456,29.145,71,Jurassic,145-199,Tuff and Lava,0.261594,2761.538288,0.147433,0.0278799,-0.119553,0
,,,279,185.711,9.25617,73,Jurassic,145-199,Tuff and Lava,0.318436,2854.745798,0.196577,0.0836397,-0.112937,0
,,,42,189.324,5.24236,71,Jurassic,145-199,Granitic Rocks,0.38145,2883.705708,-0.208863,-0.147433,0.0614303,0
,,,132,131.52,15.8209,72,Jurassic,145-199,Tuff and Lava,0.39705,2918.853117,-0.258007,-0.126388,0.131619,0
,,,22,60.0184,9.21605,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.2309,3029.633668,-0.0737164,-0.0716126,0.00210378,0
,,,306,228.126,24.4902,72,Jurassic,145-199,Tuff and Lava,0.330172,3092.897231,-0.503728,-0.264452,0.239276,0
,,,181,239.72,13.1247,71,Cretaceous,65-145,Granitic Rocks,0.333486,3119.910347,0.0737164,0.0253782,-0.0483382,0
,,,108,76.5043,11.7752,72,Jurassic,145-199,Granitic Rocks,0.302179,3140.161739,-0.0614303,-0.0231001,0.0383302,0
,,,29,225.377,16.1982,71,Cretaceous,65-145,Granitic Rocks,0.344892,3154.355635,-1.20403,-0.39594,0.808093,0
,,,64,119.233,9.5809,32,Jurassic,145-199,Granitic Rocks,0.353613,3158.408264,0.528301,0.205949,-0.322351,0
,,,51,33.8813,18.621,71,Cretaceous,65-145,Granitic Rocks,0.332969,3162.579446,-0.135147,-0.0533802,0.0817665,0
,,,19,323.455,8.13673,71,Jurassic,145-199,Granitic Rocks,0.150676,3181.937771,-0.135147,0.00865564,0.143802,0
,,,247,258.906,15.6914,73,Jurassic,145-199,Tuff and Lava,0.352182,3287.715355,-0.122861,-0.147433,-0.0245721,0
,,,489,208.179,18.9526,73,Jurassic,145-199,Tuff and Lava,0.339063,3357.936164,-0.0737164,-0.156827,-0.0831103,0
,,,197,286.133,18.8003,71,Jurassic,145-199,Tuff and Lava,0.196034,3425.117856,0.258007,0.281617,0.0236097,0
,,,360,132.647,22.728,73,Jurassic,145-199,Tuff and Lava,0.352991,3505.241286,-0.0614303,-0.00719974,0.0542306,0
,,,11,0,0,61,Jurassic,145-199,Granitic Rocks,0.202615,3566.47997,0,0,0,0
,,,157,180.971,13.4537,72,Jurassic,145-199,Tuff and Lava,0.353597,3592.793464,0.454584,0.147433,-0.307151,0
,,,153,70.9744,13.9673,73,Jurassic,145-199,Granitic Rocks,0.320211,3634.675771,0.40544,0.164274,-0.241166,0
,,,233,131.186,12.9441,72,Jurassic,145-199,Tuff and Lava,0.392917,3831.216154,-0.0368582,-0.0767684,-0.0399102,0
,,,-4,111.801,2.50015,43,Jurassic,145-199,Granitic Rocks,0.0966237,3866.32207,-0.0982885,-0.0368582,0.0614303,0
,,,83,150.871,11.4563,72,Jurassic,145-199,Tuff and Lava,0.41844,3881.169369,0.0982885,0.0735357,-0.0247528,0
,,,288,127.93,13.9511,73,Jurassic,145-199,Tuff and Lava,0.413309,4058.535275,0.282579,0.310948,0.0283689,0
,,,252,199.041,9.17638,72,Jurassic,145-199,Tuff and Lava,0.340007,4084.29185,0.552873,0.32969,-0.223182,0
,,,125,340.624,25.0994,73,Jurassic,145-199,Granitic Rocks,0.250968,4102.017063,0.282579,0.237238,-0.0453412,0
,,,218,113.039,14.3333,73,Jurassic,145-199,Granitic Rocks,0.362111,4129.320628,0.0982885,0.046687,-0.0516015,0
,,,115,54.3295,15.1705,72,Jurassic,145-199,Tuff and Lava,0.303265,4184.914856,-0.184291,-0.107134,0.0771565,0
,,,141,168.992,26.679,73,Jurassic,145-199,Tuff and Lava,0.233224,4219.652654,0.724878,0.346114,-0.378764,0
,,,270,177.049,21.4928,71,Jurassic,145-199,Tuff and Lava,0.383248,4258.154301,-0.417726,-0.219023,0.198703,0
,,,186,169.616,27.691,73,Jurassic,145-199,Tuff and Lava,0.254811,4260.50764,0.724878,0.49323,-0.231648,0
,,,158,98.6955,13.0834,71,Cretaceous,65-145,Granitic Rocks,0.415893,4309.180194,0.638875,0.522252,-0.116623,0
,,,286,43.0251,3.17408,73,Jurassic,145-199,Tuff and Lava,0.302873,4310.681734,-0.135147,-0.0122861,0.122861,0
,,,449,17.0693,34.2692,73,Jurassic,145-199,Tuff and Lava,0.233777,4350.026537,-0.319438,-0.226735,0.0927027,0
,,,88,96.1736,22.3176,73,Jurassic,145-199,Granitic Rocks,0.309163,4384.45275,0.368582,0.117173,-0.251409,0
,,,37,21.0375,12.7276,71,Jurassic,145-199,Granitic Rocks,0.249826,4478.521838,-0.0860024,0.0737164,0.159719,0
,,,198,107.85,18.5233,71,Jurassic,145-199,Tuff and Lava,0.380905,4482.478468,-0.0614303,0.0122286,0.0736589,0
,,,257,302.521,13.4305,72,Jurassic,145-199,Tuff and Lava,0.234738,4496.435473,-0.233435,-0.223535,0.00989965,0
,,,324,40.1434,16.3544,72,Jurassic,145-199,Tuff and Lava,0.287076,4525.501906,0.675733,0.346827,-0.328906,0
,,,237,114.864,16.9789,71,Jurassic,145-199,Tuff and Lava,0.442173,4550.417859,-1.11803,-0.506899,0.611132,0
,,,114,170.937,24.0421,73,Jurassic,145-199,Granitic Rocks,0.370211,4602.788841,-0.270293,-0.305356,-0.0350624,0
,,,47,129.71,5.91706,72,Cretaceous,65-145,Granitic Rocks,0.358813,4768.328501,0.40544,0.11196,-0.29348,0
,,,103,177.534,15.7853,71,Jurassic,145-199,Tuff and Lava,0.320655,4769.354716,0.172005,0.0945041,-0.0775008,0
,,,14,0,0,72,Jurassic,145-199,Granitic Rocks,0.279525,4803.94276,0,0,0,0
,,,255,231.71,16.4052,73,Jurassic,145-199,Tuff and Lava,0.276429,4809.259429,-0.270293,-0.235819,0.0344741,0
,,,7,343.374,22.1055,71,Jurassic,145-199,Granitic Rocks,0.240202,4843.458661,-0.393154,-0.0288722,0.364282,0
,,,84,200.815,19.283,73,Cretaceous,65-145,Granitic Rocks,0.320564,4856.741171,0.356296,0.315998,-0.0402977,0
,,,2,209.358,5.66691,73,Jurassic,145-199,Granitic Rocks,0.260862,4902.847656,-0.282579,-0.122861,0.159719,0
,,,818,8.80679,16.2394,73,Jurassic,145-199,Tuff and Lava,0.248799,4943.027898,0.110575,0.0018545,-0.10872,0
,,,41,112.537,12.1379,71,Jurassic,145-199,Granitic Rocks,0.327142,4955.37441,-0.135147,-0.0939408,0.0412059,0
,,,9,0,0,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0756423,5046.903939,0.159719,0.096073,-0.0636458,0
,,,7,0,0,72,Jurassic,145-199,Tuff and Lava,0.298206,5049.506898,-0.294865,-0.0605579,0.234308,0
,,,28,0,0,71,Jurassic,145-199,Granitic Rocks,0.2799,5086.998675,-0.417726,-0.0663447,0.351381,0
,,,92,107.354,17.5958,72,Jurassic,145-199,Granitic Rocks,0.311863,5087.961226,0.0737164,0.155061,0.0813442,0
,,,41,45.3154,9.84807,72,Cretaceous,65-145,Granitic Rocks,0.324488,5144.016897,0.110575,0.0537657,-0.0568089,0
,,,570,57.3476,21.4661,73,Jurassic,145-199,Tuff and Lava,0.311182,5223.517543,0.675733,0.383016,-0.292717,0
,,,1,329.036,1.80529,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.286907,5230.796575,-0.0122861,0.0196577,0.0319438,0
,,,225,24.8018,31.3356,72,Jurassic,145-199,Tuff and Lava,0.279054,5278.744257,1.19175,0.706672,-0.485076,0
,,,30,294.775,15.1564,72,Jurassic,145-199,Tuff and Lava,0.160468,5391.787147,0.0491442,0.127775,0.0786308,0
,,,125,160.201,21.5525,73,Jurassic,145-199,Tuff and Lava,0.368203,5394.715943,-0.196577,0.10566,0.302237,0
,,,5,0,0,61,Jurassic,145-199,Granitic Rocks,0.270365,5402.295536,-0.0860024,0,0.0860024,0
,,,769,333.555,29.9653,71,Jurassic,145-199,Tuff and Lava,0.207109,5405.983311,0.638875,0.402939,-0.235937,0
,,,2,127.875,4.4053,43,Jurassic,145-199,Granitic Rocks,0.0946429,5418.003216,-0.233435,-0.0652432,0.168192,0
,,,68,177.039,8.92072,72,Jurassic,145-199,Tuff and Lava,0.378545,5471.354305,-0.0982885,0.0245721,0.122861,0
,,,268,202.249,10.9087,73,Jurassic,145-199,Granitic Rocks,0.246509,5474.400452,1.11803,0.608145,-0.509886,0
,,,148,359.16,24.7431,72,Jurassic,145-199,Granitic Rocks,0.211937,5476.30574,-0.0368582,-0.0737164,-0.0368582,0
,,,82,208.951,16.1899,71,Jurassic,145-199,Granitic Rocks,0.391948,5497.282678,-0.0982885,0.0513354,0.149624,0
,,,146,158.629,11.324,72,Jurassic,145-199,Tuff and Lava,0.40359,5497.409428,-0.122861,-0.0909168,0.0319438,0
,,,388,174.41,17.6971,73,Jurassic,145-199,Granitic Rocks,0.282681,5512.45165,0.430012,0.291339,-0.138673,0
,,,33,59.37,13.4259,72,Jurassic,145-199,Granitic Rocks,0.40894,5524.125254,-0.208863,-0.0714717,0.137391,0
,,,453,48.4682,3.61526,71,Jurassic,145-199,Tuff and Lava,0.344514,5572.512808,-0.0860024,-0.0711744,0.014828,0
,,,25,330.35,5.77138,71,Jurassic,145-199,Granitic Rocks,0.335477,5602.156261,-0.258007,-0.0368582,0.221149,0
,,,360,98.7175,22.3007,73,Jurassic,145-199,Tuff and Lava,0.387325,5607.300355,-0.233435,-0.131082,0.102353,0
,,,4,174.755,18.0164,72,Jurassic,145-199,Granitic Rocks,0.373092,5607.851046,-0.34401,-0.0766072,0.267402,0
,,,31,58.707,9.16311,3,Cretaceous,65-145,Granitic Rocks,0.379058,5609.288197,-0.0860024,-0.0256357,0.0603667,0
,,,0,0,0,71,Jurassic,145-199,Granitic Rocks,-0.0133484,5643.126068,0,0,0,0
,,,27,103.671,11.6308,71,Jurassic,145-199,Granitic Rocks,0.376953,5700.634732,0.110575,0.0695324,-0.0410421,0
,,,370,121.319,16.6451,71,Jurassic,145-199,Tuff and Lava,0.311456,5708.318132,0,0.0571733,0.0571733,0
,,,76,241.489,13.9895,72,Cretaceous,65-145,Granitic Rocks,0.294321,5709.107665,0.0245721,0.109022,0.0844503,0
,,,4,0,0,32,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.123829,5735.856162,-0.172005,-1.07723E-17,0.172005,0
,,,425,340.139,20.7006,72,Jurassic,145-199,Tuff and Lava,0.27221,5746.930686,0.479156,0.10222,-0.376936,0
,,,63,163.835,10.988,71,Jurassic,145-199,Granitic Rocks,0.357751,5748.232638,-0.589731,-0.444488,0.145243,0
,,,8,314.029,12.7099,71,Jurassic,145-199,Granitic Rocks,0.274884,5753.386802,-0.184291,0.0235577,0.207849,0
,,,394,314.692,19.5688,72,Jurassic,145-199,Tuff and Lava,0.255474,5753.510932,0.135147,0.16007,0.0249237,0
,,,207,86.6335,14.2054,73,Jurassic,145-199,Tuff and Lava,0.381019,5795.176713,-0.110575,0,0.110575,0
,,,25,33.1113,10.5108,61,Cretaceous,65-145,Granitic Rocks,0.287151,5826.50265,-0.368582,-0.0755593,0.293023,0
,,,180,184.101,19.7495,73,Jurassic,145-199,Granitic Rocks,0.410544,5831.731513,0.270293,0.0274074,-0.242886,0
,,,433,221.57,31.2538,73,Jurassic,145-199,Tuff and Lava,0.29811,5832.497871,0.147433,0.0322952,-0.115138,0
,,,100,233.326,8.99971,71,Jurassic,145-199,Tuff and Lava,0.285452,5850.827926,-0.294865,-0.169515,0.12535,0
,,,116,77.188,23.9823,73,Jurassic,145-199,Granitic Rocks,0.311748,5867.917391,-0.0982885,-0.143608,-0.04532,0
,,,362,51.4416,19.6833,72,Jurassic,145-199,Tuff and Lava,0.294826,5930.127834,0.40544,0.171983,-0.233457,0
,,,206,86.1413,24.7902,73,Jurassic,145-199,Granitic Rocks,0.373072,5952.413177,0.196577,0.146922,-0.049655,0
,,,221,185.368,22.0222,72,Jurassic,145-199,Tuff and Lava,0.335473,5997.858014,0.0982885,-0.108,-0.206288,0
,,,339,68.3556,24.6062,72,Jurassic,145-199,Tuff and Lava,0.343861,6034.651481,0.147433,0.193648,0.0462153,0
,,,0,0,0,73,Jurassic,145-199,Granitic Rocks,0.226248,6040.428,0,0,0,0
,,,382,70.4362,19.14,72,Jurassic,145-199,Tuff and Lava,0.330222,6069.944796,-0.0982885,0.0225565,0.120845,0
,,,252,20.3532,10.1333,73,Jurassic,145-199,Tuff and Lava,0.34135,6080.449166,0.196577,0.0688019,-0.127775,0
,,,351,178.678,19.3638,71,Jurassic,145-199,Tuff and Lava,0.344629,6096.626741,0.196577,0.29054,0.0939634,0
,,,192,142.997,13.1438,72,Jurassic,145-199,Tuff and Lava,0.450998,6124.479078,-0.196577,-0.0646559,0.131921,0
,,,120,266.906,11.326,71,Jurassic,145-199,Granitic Rocks,0.259683,6164.949048,0.823166,0.565159,-0.258007,0
